stage,teams,result
group-stage,boot uya,2
group-stage,boot vici-gaming,2
group-stage,emp uya,1
group-stage,emp vici-gaming,2
group-stage,flash-gaming the-mongolz,1
group-stage,new4 uya,2
group-stage,the-mongolz 5power,1
group-stage,the-mongolz boot,2
group-stage,the-mongolz emp,2
group-stage,the-mongolz new4,1
group-stage,uya 5power,2
group-stage,uya flash-gaming,2
group-stage,uya the-mongolz,2
group-stage,uya vici-gaming,1
group-stage,vici-gaming 5power,1
group-stage,vici-gaming flash-gaming,2
group-stage,vici-gaming new4,1
group-stage,vici-gaming the-mongolz,1
playoff,emp vici-gaming,2
playoff,flash-gaming vici-gaming,1
playoff,flash-gaming vici-gaming,1
playoff,vici-gaming boot,1
playoff,dobry-gaming property,1
playoff,fraternitas dobry-gaming,1
playoff,playing-ducks dobry-gaming,2
playoff,vega-squadron ebettle,2
playoff,explosive space-soldiers,2
playoff,hellraisers vega-squadron,1
playoff,lowlandlions vega-squadron,2
playoff,vega-squadron space-soldiers,1
group-stage,alternate big-academy,1
group-stage,alternate playing-ducks,1
group-stage,alternate team-prismatic,1
group-stage,alternate tobeannounced,1
group-stage,epikk-esports alternate,2
group-stage,euronics alternate,2
group-stage,expert-gaming alternate,0
group-stage,panthers alternate,2
group-stage,unicorns-of-love alternate,2
playoff,alternate unicorns-of-love,1
group-stage,ad-hoc alternate,2
group-stage,alternate euronics,1
group-stage,alternate expert-gaming,0
group-stage,alternate raise-your-edge-gaming,1
group-stage,alternate tka,0
group-stage,alternate unicorns-of-love,0
group-stage,big-academy alternate,2
group-stage,epikk-esports alternate,2
group-stage,playing-ducks alternate,2
playoff,alternate unicorns-of-love,2
division-1,ad-hoc alternate,2
division-1,alternate ad-hoc,1
division-1,alternate big-academy,1
division-1,alternate planetkey-dynamics,2
division-1,alternate raise-your-edge-gaming,1
division-1,alternate tka,1
division-1,esport-rhein-neckar alternate,2
division-1,euronics alternate,2
division-1,no-limit-gaming alternate,2
division-1,unicorns-of-love alternate,1
division-1,berzerk penta,0
division-1,divizon penta,2
division-1,no-limit-gaming penta,0
division-1,penta berzerk,2
division-1,penta big-academy,0
division-1,penta esport-rhein-neckar,1
division-1,penta planetkey-dynamics,1
division-1,penta tka,0
division-1,penta unicorns-of-love,0
division-1,big-academy penta,0
division-1,epic-dudes penta,0
division-1,esport-rhein-neckar penta,2
division-1,penta esport-rhein-neckar,0
division-1,penta no-limit-gaming,1
division-1,penta planetkey-dynamics,1
division-1,penta unicorns-of-love,2
division-1,seven-gg penta,2
division-1,sparx penta,2
division-1,tka penta,0
division-1,unicorns-of-love penta,1
division-1,unicorns-of-love penta,2
group-stage,caseking penta,2
group-stage,euronics penta,1
group-stage,killerfish penta,2
group-stage,penta eyes-on-u,0
group-stage,penta playing-ducks,1
group-stage,penta ux,1
group-stage,planetkey-dynamics penta,2
playoff,eyes-on-u penta,2
playoff,penta eyes-on-u,1
playoff,playing-ducks penta,2
group-stage,bluejays penta,1
group-stage,eyes-on-u penta,2
group-stage,mysterious-monkeys penta,2
group-stage,penta euronics,1
group-stage,penta killerfish,1
group-stage,penta planetkey-dynamics,1
group-stage,penta playing-ducks,2
playoff,bluejays penta,1
playoff,bluejays penta,2
playoff,euronics penta,2
playoff,penta euronics,1
group-stage,bluejays penta,1
group-stage,diebernds penta,2
group-stage,penta alternate,2
group-stage,penta divizon,0
group-stage,penta divizon,2
group-stage,penta euronics,0
group-stage,planetkey-dynamics penta,2
group-stage,planetkey-dynamics penta,2
group-stage,playing-ducks penta,2
group-stage,dobry-gaming lgb,2
group-stage,dobry-gaming property,2
group-stage,team-dignitas expert-gaming,1
group-stage,team-dignitas planetkey-dynamics,1
playoff,sk team-dignitas,1
playoff,team-dignitas alternate,1
playoff,team-dignitas sk,2
group,efrag flipsid3,2
